symbol,date,close,open,volume,low,high,adjclose
2800.HK,2020-01-02,28.700000762939453,28.5,95691450.0,28.399999618530273,28.75,28.700000762939453
2800.HK,2020-01-03,28.649999618530273,29.0,112058500.0,28.600000381469727,29.100000381469727,28.649999618530273
2800.HK,2020-01-06,28.450000762939453,28.450000762939453,107027600.0,28.200000762939453,28.600000381469727,28.450000762939453
2800.HK,2020-01-07,28.450000762939453,28.549999237060547,54893920.0,28.399999618530273,28.700000762939453,28.450000762939453
2800.HK,2020-01-08,28.25,28.100000381469727,142130400.0,28.0,28.399999618530273,28.25
2800.HK,2020-01-09,28.799999237060547,28.549999237060547,67247490.0,28.5,28.799999237060547,28.799999237060547
2800.HK,2020-01-10,28.799999237060547,28.850000381469727,69392720.0,28.649999618530273,28.899999618530273,28.799999237060547
2800.HK,2020-01-13,29.149999618530273,28.899999618530273,102474300.0,28.850000381469727,29.200000762939453,29.149999618530273
2800.HK,2020-01-14,29.049999237060547,29.350000381469727,120942300.0,29.0,29.350000381469727,29.049999237060547
2800.HK,2020-01-15,28.950000762939453,29.100000381469727,86418870.0,28.799999237060547,29.200000762939453,28.950000762939453
2800.HK,2020-01-16,29.0,29.0,85179530.0,28.899999618530273,29.200000762939453,29.0
2800.HK,2020-01-17,29.200000762939453,29.149999618530273,49843730.0,29.0,29.299999237060547,29.200000762939453
2800.HK,2020-01-20,28.950000762939453,29.299999237060547,89520660.0,28.950000762939453,29.350000381469727,28.950000762939453
2800.HK,2020-01-21,28.149999618530273,28.799999237060547,155784500.0,28.149999618530273,28.799999237060547,28.149999618530273
2800.HK,2020-01-22,28.549999237060547,28.299999237060547,110731600.0,28.100000381469727,28.600000381469727,28.549999237060547
2800.HK,2020-01-23,28.0,28.25,143550900.0,27.850000381469727,28.299999237060547,28.0
2800.HK,2020-01-24,28.100000381469727,28.0,32397560.0,27.950000762939453,28.149999618530273,28.100000381469727
2800.HK,2020-01-29,27.299999237060547,27.25,101137100.0,27.25,27.549999237060547,27.299999237060547
2800.HK,2020-01-30,26.649999618530273,27.200000762939453,106728200.0,26.5,27.350000381469727,26.649999618530273
2800.HK,2020-01-31,26.5,26.899999618530273,98950650.0,26.450000762939453,27.0,26.5
2800.HK,2020-02-03,26.5,26.399999618530273,120022800.0,26.299999237060547,26.700000762939453,26.5
2800.HK,2020-02-04,26.850000381469727,26.649999618530273,114514400.0,26.600000381469727,26.899999618530273,26.850000381469727
2800.HK,2020-02-05,26.950000762939453,27.049999237060547,143123800.0,26.799999237060547,27.100000381469727,26.950000762939453
2800.HK,2020-02-06,27.700000762939453,27.100000381469727,151770100.0,27.100000381469727,27.850000381469727,27.700000762939453
2800.HK,2020-02-07,27.549999237060547,27.5,86692760.0,27.399999618530273,27.600000381469727,27.549999237060547
2800.HK,2020-02-10,27.399999618530273,27.25,104720300.0,27.200000762939453,27.5,27.399999618530273
2800.HK,2020-02-11,27.75,27.649999618530273,86362860.0,27.600000381469727,27.899999618530273,27.75
2800.HK,2020-02-12,28.049999237060547,27.899999618530273,94604800.0,27.799999237060547,28.100000381469727,28.049999237060547
